,Country,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016
12,Austria,7516239 ,7550340 ,7581117 ,7607065 ,7626290 ,7637689 ,7640749 ,7636576 ,7627759 ,7617884 ,7609752 ,7604513 ,7602181 ,7603102 ,7607293 ,7614868 ,7625393 ,7639352 ,7658840 ,7686572 ,7723949 ,7772701 ,7830933 ,7892086 ,7947209 ,7990121 ,8017863 ,8032876 ,8041050 ,8051113 ,8069276 ,8097748 ,8134412 ,8175852 ,8216805 ,8253650 ,8284735 ,8311783 ,8338453 ,8370038 ,8409949 ,8459864 ,8517548 ,8577782 ,8633220 ,8678657 ,8712137 
13,Azerbaijan,5180025 ,5284532 ,5385267 ,5483084 ,5579077 ,5674137 ,5768724 ,5863134 ,5957929 ,6053645 ,6150738 ,6249320 ,6349558 ,6452076 ,6557585 ,6666455 ,6778633 ,6893500 ,7010036 ,7126891 ,7242770 ,7357956 ,7471933 ,7581761 ,7683709 ,7775426 ,7855553 ,7925669 ,7989904 ,8054125 ,8122741 ,8197279 ,8277015 ,8361359 ,8448882 ,8538606 ,8630195 ,8724304 ,8821908 ,8924407 ,9032457 ,9146379 ,9264917 ,9385293 ,9503771 ,9617484 ,9725376 
14,Bahamas,169354 ,173863 ,177839 ,181488 ,185099 ,188882 ,192902 ,197111 ,201513 ,206032 ,210661 ,215396 ,220275 ,225187 ,230015 ,234687 ,239131 ,243393 ,247579 ,251849 ,256336 ,261116 ,266134 ,271165 ,275895 ,280150 ,283790 ,286970 ,290060 ,293572 ,297890 ,303135 ,309157 ,315746 ,322526 ,329249 ,335830 ,342328 ,348676 ,354856 ,360832 ,366568 ,372039 ,377240 ,382169 ,386838 ,391232 
15,Bahrain,212605 ,220312 ,229155 ,239527 ,251911 ,266543 ,283752 ,303175 ,323473 ,342798 ,359888 ,374120 ,385950 ,396454 ,407227 ,419430 ,433482 ,448973 ,465202 ,481090 ,495931 ,509765 ,523087 ,536213 ,549588 ,563699 ,578668 ,594930 ,613702 ,636545 ,664614 ,697549 ,735148 ,778711 ,829848 ,889168 ,958414 ,1035891 ,1114590 ,1185029 ,1240862 ,1278269 ,1300217 ,1315411 ,1336397 ,1371855 ,1425171 
16,Bangladesh,65047770 ,66424744 ,67597470 ,68691185 ,69884420 ,71305923 ,72999136 ,74925896 ,77033846 ,79236776 ,81470860 ,83721268 ,86007331 ,88338242 ,90732362 ,93199865 ,95742431 ,98343809 ,100975321 ,103599232 ,106188642 ,108727432 ,111221938 ,113695139 ,116182267 ,118706871 ,121269645 ,123854640 ,126447965 ,129029691 ,131581243 ,134107160 ,136600667 ,139019001 ,141307489 ,143431101 ,145368004 ,147139191 ,148805814 ,150454708 ,152149102 ,153911916 ,155727053 ,157571292 ,159405279 ,161200886 ,162951560 
17,Barbados,238848 ,240035 ,241441 ,242976 ,244539 ,246034 ,247444 ,248784 ,250032 ,251177 ,252194 ,253080 ,253841 ,254518 ,255193 ,255924 ,256736 ,257611 ,258527 ,259458 ,260374 ,261275 ,262184 ,263089 ,264015 ,264959 ,265942 ,266945 ,267950 ,268922 ,269847 ,270685 ,271478 ,272258 ,273091 ,274009 ,275039 ,276150 ,277319 ,278470 ,279569 ,280601 ,281585 ,282509 ,283385 ,284217 ,284996 
18,Belarus,8977639 ,9051218 ,9120964 ,9187675 ,9252678 ,9316955 ,9380452 ,9443001 ,9505452 ,9568883 ,9633888 ,9700245 ,9767260 ,9834424 ,9901045 ,9966154 ,10030068 ,10091633 ,10146632 ,10189615 ,10216846 ,10226493 ,10219918 ,10200510 ,10173355 ,10142308 ,10109072 ,10073061 ,10033061 ,9986933 ,9933609 ,9872961 ,9807132 ,9740054 ,9676902 ,9621543 ,9575043 ,9536864 ,9507331 ,9486239 ,9473071 ,9468500 ,9471730 ,9478902 ,9484851 ,9485772 ,9480042 
19,Belgium,9632180 ,9663324 ,9692846 ,9720761 ,9747020 ,9771586 ,9794777 ,9816696 ,9836814 ,9854377 ,9868995 ,9880592 ,9889824 ,9897880 ,9906371 ,9916578 ,9928542 ,9942289 ,9959020 ,9980176 ,10006544 ,10039445 ,10078101 ,10118674 ,10155919 ,10186305 ,10208275 ,10223789 ,10237299 ,10255160 ,10282033 ,10319019 ,10364885 ,10419032 ,10480117 ,10546886 ,10619567 ,10697835 ,10779173 ,10860290 ,10938739 ,11013083 ,11083550 ,11151512 ,11219161 ,11287940 ,11358379 
20,Belize,122182 ,124793 ,127150 ,129294 ,131307 ,133260 ,135147 ,136989 ,138965 ,141305 ,144155 ,147566 ,151500 ,155822 ,160347 ,164921 ,169568 ,174320 ,179028 ,183469 ,187552 ,191126 ,194317 ,197616 ,201674 ,206963 ,213676 ,221606 ,230284 ,239026 ,247315 ,254984 ,262206 ,269130 ,276089 ,283277 ,290747 ,298407 ,306165 ,313929 ,321608 ,329192 ,336701 ,344181 ,351694 ,359288 ,366954 
21,Benin,2912340 ,2976572 ,3043567 ,3113675 ,3187412 ,3265165 ,3347173 ,3433439 ,3523938 ,3618526 ,3717165 ,3820128 ,3927714 ,4039949 ,4156819 ,4278501 ,4404506 ,4535263 ,4672852 ,4820016 ,4978496 ,5149499 ,5331803 ,5521763 ,5714220 ,5905558 ,6094259 ,6281639 ,6470265 ,6664098 ,6865951 ,7076733 ,7295394 ,7520555 ,7750004 ,7982225 ,8216896 ,8454791 ,8696916 ,8944706 ,9199259 ,9460802 ,9729160 ,10004451 ,10286712 ,10575952 ,10872298 
