,Country,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016
166,Saudi Arabia,921.3348946,1177.646819,1511.469699,2226.291891,6433.03914,6296.272381,8186.314361,9012.714914,9247.478916,12185.52553,16892.14365,17777.31854,13870.3101,10981.16258,9582.030992,7877.253065,6264.740147,5891.758481,5815.716944,6043.257517,7195.122346,7828.332312,7877.69195,7435.188672,7372.289324,7640.538383,8282.163075,8497.173971,7382.160601,7968.548574,9126.954277,8643.494004,8655.311531,9567.458285,11138.81305,13739.89438,15334.67003,16472.16895,20037.82997,16094.29432,19259.59209,23770.74739,25303.09462,24934.38614,24575.40304,20653.23893,19817.30245
167,Senegal,223.6066469,224.1981058,262.9233157,293.2641211,321.2150944,421.0198085,415.9371383,415.6989679,452.0235435,550.2771657,581.8266225,469.4583637,475.0806364,442.4787454,404.6453966,432.8668484,612.8745912,726.4472475,762.8723129,687.3813569,821.2099142,768.7475813,817.3202211,714.8392035,465.8556807,557.1571597,564.4959492,508.0726272,534.0979391,557.1702153,473.4500508,481.287035,513.0262244,642.8264171,733.0581682,773.9409289,809.7990381,950.3978959,1096.88737,1018.06262,1000.731657,1080.70733,1037.471223,1051.427725,1050.454687,913.1605398,947.6308277
168,Serbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4249.371989,3844.137461,2796.741893,1972.851915,2053.231329,2207.890504,2309.433473,2191.159401,1977.008098,1503.206736,1248.591775,1634.875839,2148.910754,2832.489423,3331.232897,3528.12815,4129.761534,5458.129581,6701.768104,5821.307418,5411.87473,6421.137709,5657.485048,6351.678982,6199.120462,5237.254179,5426.200717
169,Seychelles,425.3175403,494.1972555,671.7043917,787.5920044,897.1235348,969.3135761,975.1669969,1246.971488,1618.832822,2361.304621,2685.79256,2743.103554,2610.70159,2563.5032,2632.229013,2922.332006,3604.783298,4301.857357,4899.639234,5250.749373,6306.092306,6326.411818,7206.080716,7650.520549,7725.848777,8004.888231,7768.878725,8669.42282,9282.727446,9388.877528,9203.200626,9038.532501,9951.197451,9851.993924,9594.066035,10356.78929,11336.36283,11449.41126,10665.23792,9308.849254,10611.72297,11090.45075,11480.70077,14316.71091,14401.46046,14691.12784,15216.5632
170,Sierra Leone,169.1978446,176.641292,190.7454177,212.9742396,239.8969618,250.698878,227.7405043,253.524539,319.6473689,359.5926759,396.0756602,414.6850094,455.6814068,386.9848108,462.6356289,362.253275,246.7940223,203.0184226,309.1476902,285.1348978,203.9537754,243.4657177,212.5358042,241.6625238,288.1854086,275.7623242,297.7137077,267.3530045,209.082201,204.2082799,188.6050183,230.1505509,252.8820943,266.5627425,266.2903744,291.6903175,322.3134716,358.8274677,406.3759235,388.8746022,399.154365,445.0381051,561.8597104,710.8100251,708.4739377,582.3849514,496.8445625
171,Singapore,926.2681126,1075.488889,1371.878565,1930.72098,2362.882476,2561.891653,2652.630798,2895.321967,3443.367436,4096.608544,5008.45076,5837.720602,6305.086309,6976.808802,7394.27604,6858.182602,6789.265235,7662.891433,9216.673147,10676.92197,12910.87644,14684.99878,16353.21458,18446.62908,21792.62381,25265.05998,27032.35328,27448.58758,22969.02828,22596.88135,24485.67972,22216.96873,22255.42552,22827.85863,26129.42752,28371.56264,32046.2468,38030.64441,39626.23865,38748.51353,46592.15531,53246.49148,54860.54435,56429.74575,56559.39491,53626.24322,52814.34505
172,Sint Maarten (Dutch part),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21762.46709,23318.46056,24891.99719,26350.52866,26323.78953,27064.72826,27550.71194,28060.37227,28072.10673,28064.11547,27520.63435,27115.53833
173,Slovakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3172.418572,2213.099079,2396.954341,2572.008798,2966.948984,3713.0006,4006.390294,4058.589881,4225.722564,3852.04671,3830.241949,3958.548132,4588.331729,6281.664425,7974.195881,9069.313044,10574.16842,14249.41016,17891.51571,16468.2272,16561.09252,18148.62042,17244.3762,18152.25613,18581.11381,16086.83734,16488.79564
174,Slovenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9028.915256,6578.304036,6508.215462,6601.645929,7513.293755,10682.74999,10798.22048,10437.93708,11128.57599,11411.51147,10230.72744,10499.13509,11850.88237,14931.6209,17309.45202,18206.30951,19755.25797,23894.35651,27459.05896,24683.68621,23476.60765,24978.03295,22497.10141,23288.23118,24098.82359,20759.91138,21516.6352
175,Solomon Islands,199.8378252,208.1410668,218.660448,281.9084634,391.3107249,334.988679,359.3608702,391.9559915,456.0440963,583.8747493,622.3742124,677.5368565,662.1536271,483.5537832,662.5496538,590.783243,519.9791671,509.5095777,597.459629,552.749615,667.4057241,687.0976047,789.8478995,832.8287525,915.6755358,1015.133476,1091.329522,1074.887484,917.4996455,946.6217892,819.625808,789.4184824,629.1098005,703.4006791,793.1349242,914.0024346,978.7188163,1192.822794,1262.841481,1237.323352,1363.464482,1612.7255,1769.403047,1875.738239,1912.859301,1803.84009,1891.777229
176,Somalia,99.00429751,100.0020021,128.8866491,137.9630654,157.8231302,195.0910953,203.13569,92.13633098,92.95527139,87.00306704,90.39456177,101.1155206,108.5284031,99.40031112,106.1684272,119.2315033,117.3730105,130.042842,131.1014851,133.4797353,134.3824168,82.34378621,77.8862413,132.5088943,148.5118215,145.6532426,159.6760131,182.1211828,228.6771913,218.3924663,227.7149486,140.2040745,127.4729064,154.1970211,196.1659865,222.4365599,222.9835356,224.9374102,228.6889478,171.8235341,88.87176675,86.04012382,102.3112489,106.5129652,101.7239525,95.79077617,92.05600553
177,South Africa,816.8515907,876.8696673,895.3560274,1193.54386,1458.622078,1468.504353,1373.721903,1487.40003,1668.817339,2008.354498,2819.597974,2824.886289,2525.399947,2745.189076,2370.523088,1768.378954,1974.885075,2536.629226,2670.416486,2721.095483,3106.968692,3258.61673,3454.560049,3371.220352,3431.85706,3740.576455,3490.660243,3551.293964,3153.174472,3079.411851,3027.353673,2661.093679,2461.354877,3678.078911,4737.878445,5279.976819,5502.660035,6001.882379,5688.492739,5806.016069,7276.354027,7967.642655,7478.165487,6818.736993,6432.982399,5740.619868,5274.257165
178,South Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1651.683075,1266.08892,1510.431594,1702.501066,884.5936852,1201.327893,1374.376738,1128.441838,534.2650705
