"","Country","athletes","Gold","Silver","Bronze","Total","POP","GDP"
"1","Algeria",4,0,0,0,0,27181094,1766.054678
"2","Andorra",5,0,0,0,0,58888,20547.71179
"3","Argentina",20,0,0,0,0,33655151,6798.026763
"4","Armenia",NA,0,0,0,0,3442810,369.6333872
"5","Australia",21,0,0,0,0,17495000,18616.32081
"6","Austria",58,6,7,8,21,7840709,24820.22783
"7","Belarus",NA,0,0,0,0,10216000,1675.838916
"8","Belgium",5,0,0,0,0,10045158,23497.74962
"9","Bermuda",1,0,0,0,0,58595,28669.68226
"10","Bolivia",4,0,0,0,0,7131707,791.3804293
"11","Brazil",7,0,0,0,0,154564278,2591.797116
"12","Bulgaria",31,0,0,0,0,8540164,1211.980878
"13","Canada",108,2,3,2,7,28519597,20771.25035
"14","Chile",5,0,0,0,0,13671033,3362.169308
"15","China",32,0,3,0,3,1164970000,366.4602759
"16","Chinese Taipei",8,0,0,0,0,NA,NA
"17","Costa Rica",4,0,0,0,0,3257466,2618.167952
"18","Croatia",4,0,0,0,0,4470000,NA
"19","Cyprus",4,0,0,0,0,800609,11310.07192
"20","Czechoslovakia",74,0,0,3,3,NA,NA
"21","Denmark",6,0,0,0,0,5171370,29569.65453
"22","Estonia",19,0,0,0,0,1533091,NA
"23","Finland",62,3,1,3,7,5041992,22337.48712
"24","France",109,3,5,1,9,58851216,23937.05692
"25","Germany",111,10,10,6,26,80624598,26333.53744
"26","Great Britain",49,0,0,0,0,57580402,20487.17079
"27","Greece",8,0,0,0,0,10399061,11176.45844
"28","Honduras",1,0,0,0,0,5247836,651.5995242
"29","Hungary",24,0,0,0,0,10369341,3724.05886
"30","Iceland",5,0,0,0,0,261057,27345.70609
"31","India",2,0,0,0,0,906021106,313.8601101
"32","Ireland",4,0,0,0,0,3558430,15729.93288
"33","Italy",107,4,6,4,14,56797087,23166.80415
"34","Jamaica",5,0,0,0,0,2465362,1432.200524
"35","Japan",60,1,2,4,7,124229000,31376.13786
"36","Kazakhstan",NA,0,0,0,0,16439095,1515.104059
"37","Latvia",23,0,0,0,0,2614338,NA
"38","Lebanon",4,0,0,0,0,2821862,1965.341306
"39","Liechtenstein",7,0,0,0,0,29497,55300.46816
"40","Lithuania",6,0,0,0,0,3700114,NA
"41","Luxembourg",1,0,2,0,2,392175,40965.74432
"42","Mexico",20,0,0,0,0,88828310,4093.393831
"43","Monaco",5,0,0,0,0,29863,91654.11901
"44","Mongolia",4,0,0,0,0,2243502,587.3013993
"45","Morocco",12,0,0,0,0,25791494,1295.422632
"46","Netherlands",19,1,1,2,4,15184166,23598.95076
"47","Netherlands Antilles",2,0,0,0,0,NA,NA
"48","New Zealand",6,0,1,0,1,3531700,11792.98869
"49","North Korea",20,0,0,1,1,20937404,NA
"50","Norway",80,9,6,5,20,4286401,30523.98506
"51","Philippines",1,0,0,0,0,65075486,814.0752868
"52","Poland",53,0,0,0,0,38363667,2459.020685
"53","Puerto Rico",6,0,0,0,0,3585176,9659.3389
"54","Romania",23,0,0,0,0,22794284,1102.103785
"55","Russia",NA,8,6,8,22,148689000,3095.659779
"56","San Marino",3,0,0,0,0,24749,NA
"57","Senegal",2,0,0,0,0,8029725,747.8320019
"58","Slovenia",27,0,0,0,0,1996498,NA
"59","South Korea",23,2,1,1,4,43747962,8001.540992
"60","Spain",17,0,0,1,1,39157685,16068.42672
"61","Swaziland",1,0,0,0,0,906034,1418.011062
"62","Sweden",73,1,0,3,4,8668067,32338.50395
"63","Switzerland",74,1,0,2,3,6875364,39435.53813
"64","Turkey",8,0,0,0,0,55748875,2842.373598
"65","Ukraine",NA,1,0,0,1,52150266,1417.868805
"66","United States",147,5,4,2,11,256514000,25492.95165
"67","Uzbekistan",NA,0,0,0,0,21449000,603.3520153
"68","Virgin Islands",12,0,0,0,0,105711,16752.27713
"69","Yugoslavia",25,0,0,0,0,NA,NA
