"","Country","athletes","Gold","Silver","Bronze","Total","POP","GDP"
"1","Albania",2,0,0,0,0,2889104,4575.763787
"2","Andorra",6,0,0,0,0,79223,NA
"3","Argentina",7,0,0,0,0,42981515,12245.25645
"4","Armenia",4,0,0,0,0,2906220,3994.712355
"5","Australia",61,0,2,1,3,23460694,62214.60912
"6","Austria",130,4,8,5,17,8541575,51322.63997
"7","Azerbaijan",4,0,0,0,0,9535079,7891.299776
"8","Belarus",26,5,0,1,6,9474511,8318.429294
"9","Belgium",7,0,0,0,0,11209057,47439.39684
"10","Bermuda",1,0,0,0,0,65139,NA
"11","Bosnia and Herzegovina",5,0,0,0,0,3566002,5193.904932
"12","Brazil",13,0,0,0,0,204213133,12026.61731
"13","British Virgin Islands",1,0,0,0,0,29588,NA
"14","Bulgaria",18,0,0,0,0,7223938,7853.335191
"15","Canada",222,10,10,5,25,35544564,50440.43376
"16","Cayman Islands",1,0,0,0,0,59172,NA
"17","Chile",6,0,0,0,0,17613798,14817.37778
"18","China",66,3,4,2,9,1364270000,7683.502038
"19","Chinese Taipei",3,0,0,0,0,NA,NA
"20","Croatia",11,0,1,0,1,4238389,13467.46827
"21","Cyprus",2,0,0,0,0,1152309,27340.88382
"22","Czech Republic",85,2,4,2,8,10525347,19744.55861
"23","Denmark",12,0,0,0,0,5643475,62425.5392
"24","Dominica",2,0,0,0,0,72778,7257.395143
"25","Estonia",24,0,0,0,0,1314545,19941.45532
"26","Finland",103,1,3,1,5,5461512,49914.61864
"27","France",105,4,4,7,15,66331957,42955.24287
"28","Georgia",4,0,0,0,0,3727000,4429.650075
"29","Germany",153,8,6,5,19,80982500,47902.65288
"30","Great Britain",56,1,1,2,4,64613160,46412.11727
"31","Greece",7,0,0,0,0,10892413,21673.78107
"32","Hong Kong",1,0,0,0,0,7241700,40247.36691
"33","Hungary",16,0,0,0,0,9866468,14117.97668
"34","Iceland",5,0,0,0,0,327386,52473.11356
"35","India",3,0,0,0,0,1293859294,1573.118089
"36","Iran",5,0,0,0,0,78411092,5424.309974
"37","Ireland",5,0,0,0,0,4617225,55503.32623
"38","Israel",5,0,0,0,0,8215700,37582.84624
"39","Italy",113,0,2,6,8,60789140,35396.66517
"40","Jamaica",2,0,0,0,0,2862087,4855.743789
"41","Japan",113,1,4,3,8,127276000,38096.21151
"42","Kazakhstan",52,0,0,1,1,17289224,12806.56511
"43","Kyrgyzstan",1,0,0,0,0,5835500,1279.769783
"44","Latvia",58,0,2,2,4,1993782,15725.01374
"45","Lebanon",2,0,0,0,0,5603279,8161.4614
"46","Liechtenstein",4,0,0,0,0,37127,179478.5848
"47","Lithuania",9,0,0,0,0,2932367,16554.97139
"48","Luxembourg",1,0,0,0,0,556319,119172.7418
"49","Macedonia",3,0,0,0,0,2077495,5469.217898
"50","Malta",1,0,0,0,0,427364,26180.92599
"51","Mexico",1,0,0,0,0,124221600,10452.27766
"52","Moldova",4,0,0,0,0,3556397,2244.763762
"53","Monaco",5,0,0,0,0,38132,NA
"54","Mongolia",2,0,0,0,0,2923896,4181.583321
"55","Montenegro",2,0,0,0,0,621810,7378.345289
"56","Morocco",2,0,0,0,0,34318082,3154.513484
"57","Nepal",1,0,0,0,0,28323241,706.2386977
"58","Netherlands",41,8,7,9,24,16865008,52157.40687
"59","New Zealand",15,0,0,0,0,4509700,44503.24673
"60","Norway",134,11,5,10,26,5137232,97005.49856
"61","Pakistan",1,0,0,0,0,185546257,1316.980966
"62","Paraguay",1,0,0,0,0,6552584,4712.822736
"63","Peru",3,0,0,0,0,30973354,6491.05245
"64","Philippines",1,0,0,0,0,100102249,2842.938353
"65","Poland",59,4,1,1,6,38011735,14341.6705
"66","Portugal",2,0,0,0,0,10401062,22077.53613
"67","Romania",24,0,0,0,0,19908979,10020.27733
"68","Russia",232,9,3,8,20,143819666,14125.9061
"69","San Marino",2,0,0,0,0,32657,NA
"70","Serbia",8,0,0,0,0,7130576,6200.173221
"71","Slovakia",62,1,0,0,1,5418649,18595.15111
"72","Slovenia",66,2,2,4,8,2061980,24020.67286
"73","South Korea",71,3,3,2,8,50746659,27811.36638
"74","Spain",20,0,0,0,0,46480882,29600.47225
"75","Sweden",106,2,7,6,15,9696110,59180.19898
"76","Switzerland",168,6,3,2,11,8188649,85814.58857
"77","Tajikistan",1,0,0,0,0,8362745,1104.459019
"78","Thailand",2,0,0,0,0,68416772,5941.84071
"79","Timor-Leste",1,0,0,0,0,1212814,1153.515708
"80","Togo",2,0,0,0,0,7228915,620.1318489
"81","Tonga",1,0,0,0,0,105782,4192.349758
"82","Turkey",6,0,0,0,0,77030628,12127.22522
"83","Ukraine",43,1,0,1,2,45271947,3104.658296
"84","United States",230,9,7,12,28,318563456,54598.55069
"85","Uzbekistan",3,0,0,0,0,30757700,2050.448414
"86","Venezuela",1,0,0,0,0,30738378,NA
"87","Virgin Islands",1,0,0,0,0,104170,34789.28674
"88","Zimbabwe",1,0,0,0,0,15411675,1027.407462
