"","Country","athletes","Gold","Silver","Bronze","Total","POP","GDP"
"1","Albania",1,0,0,0,0,2913021,4094.358832
"2","Algeria",1,0,0,0,0,36117637,4463.394675
"3","Andorra",6,0,0,0,0,84449,39627.66352
"4","Argentina",7,0,0,0,0,41223889,10276.2605
"5","Armenia",4,0,0,0,0,2877311,3218.381655
"6","Australia",40,2,1,0,3,22031750,51874.08048
"7","Austria",81,4,6,6,16,8363404,46657.0629
"8","Azerbaijan",2,0,0,0,0,9054332,5842.805784
"9","Belarus",51,1,1,1,3,9490583,6030.388707
"10","Belgium",8,0,0,0,0,10895586,44380.23741
"11","Bermuda",1,0,0,0,0,65124,88207.32756
"12","Bosnia and Herzegovina",5,0,0,0,0,3722084,4611.470298
"13","Brazil",5,0,0,0,0,196796269,11224.15408
"14","Bulgaria",19,0,0,0,0,7395599,6843.263289
"15","Canada",206,14,7,5,26,34005274,47447.47602
"16","Cayman Islands",1,0,0,0,0,55507,NA
"17","Chile",3,0,0,0,0,16993354,12860.17764
"18","China",90,5,2,4,11,1337705000,4560.512487
"19","Chinese Taipei",1,0,0,0,0,NA,NA
"20","Colombia",1,0,0,0,0,45918097,6250.655044
"21","Croatia",19,0,2,1,3,4417781,13505.74586
"22","Cyprus",2,0,0,0,0,1112607,30818.46396
"23","Czech Republic",92,2,0,4,6,10474410,19764.01554
"24","Denmark",18,0,0,0,0,5547683,58041.41122
"25","Estonia",30,0,1,0,1,1331475,14638.60482
"26","Ethiopia",1,0,0,0,0,87702670,341.3099092
"27","Finland",95,0,1,4,5,5363352,46202.41516
"28","France",108,2,3,6,11,65027512,40703.34279
"29","Georgia",8,0,0,0,0,3926000,2964.477034
"30","Germany",153,10,13,7,30,81776930,41785.55691
"31","Ghana",1,0,0,0,0,24512104,1312.607557
"32","Great Britain",52,1,0,0,1,62766365,38709.91166
"33","Greece",7,0,0,0,0,11121341,26917.75898
"34","Hong Kong",1,0,0,0,0,7024200,32549.99823
"35","Hungary",16,0,0,0,0,10000023,13025.53379
"36","Iceland",4,0,0,0,0,318041,41676.44527
"37","India",3,0,0,0,0,1230980691,1345.770153
"38","Iran",4,0,0,0,0,74567511,6273.378441
"39","Ireland",7,0,0,0,0,4560155,48538.58776
"40","Israel",3,0,0,0,0,7623600,30661.99004
"41","Italy",109,1,1,3,5,59277417,35849.37364
"42","Jamaica",1,0,0,0,0,2817210,4682.728424
"43","Japan",94,0,3,2,5,128070000,44507.67639
"44","Kazakhstan",38,0,1,0,1,16321581,9070.649972
"45","Kyrgyzstan",2,0,0,0,0,5447900,880.0377751
"46","Latvia",59,0,2,0,2,2097555,11326.21947
"47","Lebanon",3,0,0,0,0,4337141,8763.826274
"48","Liechtenstein",7,0,0,0,0,36003,141165.0829
"49","Lithuania",8,0,0,0,0,3097282,11984.86857
"50","Macedonia",3,0,0,0,0,2070739,4542.904104
"51","Mexico",1,0,0,0,0,117318941,8959.581416
"52","Moldova",7,0,0,0,0,3562045,1631.535832
"53","Monaco",3,0,0,0,0,37094,144246.3688
"54","Mongolia",2,0,0,0,0,2712650,2650.353659
"55","Montenegro",1,0,0,0,0,619428,6682.281158
"56","Morocco",1,0,0,0,0,32409639,2834.20472
"57","Nepal",1,0,0,0,0,27023137,592.1835216
"58","Netherlands",34,4,1,3,8,16615394,50338.25483
"59","New Zealand",16,0,0,0,0,4350700,33691.34837
"60","North Korea",2,0,0,0,0,24591599,NA
"61","Norway",99,9,8,6,23,4889252,87646.75346
"62","Pakistan",1,0,0,0,0,170560182,1040.142268
"63","Peru",3,0,0,0,0,29373646,5022.493191
"64","Poland",50,1,3,2,6,38042794,12599.52486
"65","Portugal",1,0,0,0,0,10573100,22538.65408
"66","Romania",29,0,0,0,0,20246871,8297.483621
"67","Russia",177,3,5,7,15,142849449,10674.98771
"68","San Marino",1,0,0,0,0,31110,NA
"69","Senegal",1,0,0,0,0,12916229,1001.631377
"70","Serbia",10,0,0,0,0,7291436,5411.877404
"71","Slovakia",73,1,1,1,3,5391428,16600.61359
"72","Slovenia",50,0,2,1,3,2048583,23437.47202
"73","South Africa",2,0,0,0,0,50979432.36,7362.76139
"74","South Korea",46,6,6,2,14,49554112,22086.95292
"75","Spain",18,0,0,0,0,46576897,30736.00228
"76","Sweden",106,5,2,4,11,9378126,52076.25591
"77","Switzerland",146,6,0,3,9,7824909,74276.71842
"78","Tajikistan",1,0,0,0,0,7641630,738.3475227
"79","Turkey",5,0,0,0,0,72326914,10672.05693
"80","Ukraine",47,0,0,0,0,45870700,2965.142365
"81","United States",215,9,15,13,37,309348193,48373.87882
"82","Uzbekistan",3,0,0,0,0,28562400,1377.08214
