"","Country","athletes","Gold","Silver","Bronze","Total","POP","GDP"
"1","Andorra",3,0,0,0,0,70049,24518.34306
"2","Argentina",11,0,0,0,0,37889370,2579.193168
"3","Armenia",9,0,0,0,0,3033897,783.2616099
"4","Australia",27,2,0,0,2,19651400,20081.81763
"5","Austria",90,3,4,10,17,8081957,26351.37568
"6","Azerbaijan",4,0,0,0,0,8171950,763.0730858
"7","Belarus",64,0,0,1,1,9865548,1479.383142
"8","Belgium",6,0,0,0,0,10332785,25052.33028
"9","Bermuda",1,0,0,0,0,62912,62583.1002
"10","Bosnia and Herzegovina",2,0,0,0,0,3775807,1761.537647
"11","Brazil",10,0,0,0,0,180151021,2819.649531
"12","Bulgaria",23,0,1,2,3,7837161,2087.534843
"13","Cameroon",1,0,0,0,0,16084886,676.3976061
"14","Canada",150,7,3,7,17,31362000,24167.80431
"15","Chile",6,0,0,0,0,15623635,4463.545867
"16","China",66,2,2,4,8,1280400000,1148.508057
"17","Chinese Taipei",6,0,0,0,0,NA,NA
"18","Costa Rica",1,0,0,0,0,4063204,4062.014965
"19","Croatia",14,3,1,0,4,4440000,6053.716037
"20","Cyprus",1,0,0,0,0,976966,16372.29152
"21","Czech Republic",76,1,2,0,3,10196916,8011.898074
"22","Denmark",11,0,0,0,0,5375931,33228.69291
"23","Estonia",17,1,1,1,3,1379350,5308.347781
"24","Fiji",1,0,0,0,0,815691,2259.055796
"25","Finland",98,4,2,1,7,5200598,26834.02625
"26","France",114,4,5,2,11,61805267,24275.2426
"27","Georgia",4,0,0,0,0,4357000,779.3845935
"28","Germany",157,12,16,8,36,82488495,25205.16445
"29","Great Britain",49,1,0,1,2,59370479,29603.46576
"30","Greece",10,0,0,0,0,10902022,14110.31339
"31","Hong Kong",2,0,0,0,0,6744100,24665.89
"32","Hungary",25,0,0,0,0,10158608,6650.644003
"33","Iceland",6,0,0,0,0,287523,31996.20172
"34","India",1,0,0,0,0,1089807112,466.2008042
"35","Iran",2,0,0,0,0,67983330,1892.036143
"36","Ireland",6,0,0,0,0,3931947,32539.01937
"37","Israel",5,0,0,0,0,6570000,18431.15696
"38","Italy",112,4,4,5,13,57059007,22196.50736
"39","Jamaica",2,0,0,0,0,2695446,3596.496282
"40","Japan",103,0,1,1,2,127445000,32289.35054
"41","Kazakhstan",50,0,0,0,0,14858948,1658.031146
"42","Kenya",1,0,0,0,0,33214009,395.8493511
"43","Kyrgyzstan",2,0,0,0,0,4990700,321.726538
"44","Latvia",47,0,0,0,0,2310173,4132.349207
"45","Lebanon",2,0,0,0,0,3522837,5436.595223
"46","Liechtenstein",8,0,0,0,0,34018,79035.53479
"47","Lithuania",8,0,0,0,0,3443067,4146.987928
"48","Macedonia",2,0,0,0,0,2048928,1961.203736
"49","Mexico",3,0,0,0,0,104355608,7106.082019
"50","Moldova",5,0,0,0,0,3623062,458.6778168
"51","Monaco",5,0,0,0,0,32629,89061.05067
"52","Mongolia",4,0,0,0,0,2443659,571.501883
"53","Nepal",1,0,0,0,0,24566342,246.3075621
"54","Netherlands",27,3,5,0,8,16148929,28817.32321
"55","New Zealand",10,0,0,0,0,3948500,16874.31232
"56","Norway",77,13,5,7,25,4538159,43061.15038
"57","Poland",27,0,1,1,2,38230364,5196.932921
"58","Puerto Rico",2,0,0,0,0,3823701,18972.76853
"59","Romania",21,0,0,0,0,21730496,2124.873613
"60","Russia",151,5,4,4,13,145306046,2375.059044
"61","San Marino",1,0,0,0,0,28121,31291.81786
"62","Slovakia",49,0,0,0,0,5376912,6524.861878
"63","Slovenia",40,0,0,1,1,1994530,11814.09994
"64","South Africa",1,0,0,0,0,45855482.88,2518.398261
"65","South Korea",48,2,2,0,4,47644736,12782.52553
"66","Spain",7,0,0,0,0,41431558,17019.53541
"67","Sweden",102,0,2,5,7,8924958,29571.70446
"68","Switzerland",110,3,2,6,11,7284753,41336.72192
"69","Tajikistan",1,0,0,0,0,6447688,189.3878519
"70","Thailand",1,0,0,0,0,64073164,2096.054617
"71","Trinidad and Tobago",2,0,0,0,0,1277837,7049.626612
"72","Turkey",3,0,0,0,0,65143054,3660.00507
"73","Ukraine",68,0,0,0,0,48202500,879.4750486
"74","United States",202,10,13,11,34,287625193,38166.03784
"75","Uzbekistan",6,0,0,0,0,25271850,383.3494997
"76","Venezuela",4,0,0,0,0,25408700,3655.97562
"77","Virgin Islands",8,0,0,0,0,108208,30210.33565
"78","Yugoslavia",6,0,0,0,0,NA,NA
