"","Country","athletes","Gold","Silver","Bronze","Total","POP","GDP"
"1","American Samoa",2,0,0,0,0,51803,NA
"2","Andorra",6,0,0,0,0,62677,16234.80901
"3","Argentina",10,0,0,0,0,34558115,7449.48039
"4","Armenia",2,0,0,0,0,3283660,400.5160919
"5","Australia",25,0,0,1,1,17855000,18102.31756
"6","Austria",80,2,3,4,9,7936118,25584.91782
"7","Belarus",33,0,2,0,2,10227000,1460.075488
"8","Belgium",5,0,0,0,0,10115603,24338.16069
"9","Bermuda",1,0,0,0,0,59320,31476.06312
"10","Bosnia and Herzegovina",10,0,0,0,0,3948816,318.0200012
"11","Brazil",1,0,0,0,0,159705123,3494.640541
"12","Bulgaria",17,0,0,0,0,8443591,1148.494399
"13","Canada",95,3,6,4,13,29111906,19859.20398
"14","Chile",3,0,0,0,0,14091389,4045.621429
"15","China",24,0,1,2,3,1191835000,473.4927622
"16","Chinese Taipei",2,0,0,0,0,NA,NA
"17","Croatia",3,0,0,0,0,4650000,NA
"18","Cyprus",1,0,0,0,0,837110,11617.69278
"19","Czech Republic",63,0,0,0,0,10333587,4583.584499
"20","Denmark",4,0,0,0,0,5206180,29995.56522
"21","Estonia",26,0,0,0,0,1462514,NA
"22","Fiji",1,0,0,0,0,765667,2383.915146
"23","Finland",61,0,1,5,6,5088333,20305.58355
"24","France",98,0,1,4,5,59327194,23625.529
"25","Georgia",5,0,0,0,0,4861600,517.0870879
"26","Germany",112,9,7,8,24,81438348,27087.55845
"27","Great Britain",32,0,0,2,2,57865745,19709.2381
"28","Greece",9,0,0,0,0,10512922,11091.28386
"29","Hungary",16,0,0,0,0,10343355,4161.029843
"30","Iceland",5,0,0,0,0,266021,24214.70973
"31","Israel",1,0,0,0,0,5399000,13830.287
"32","Italy",104,7,5,8,20,56843400,19273.84424
"33","Jamaica",4,0,0,0,0,2513049,1952.95094
"34","Japan",57,1,2,2,5,124961000,39268.56687
"35","Kazakhstan",29,1,2,0,3,16095199,1320.321622
"36","Kyrgyzstan",1,0,0,0,0,4515100,372.30781
"37","Latvia",27,0,0,0,0,2520742,NA
"38","Liechtenstein",10,0,0,0,0,30365,64156.70106
"39","Lithuania",6,0,0,0,0,3657144,NA
"40","Luxembourg",1,0,0,0,0,402925,45481.8922
"41","Mexico",1,0,0,0,0,92349147,5710.055487
"42","Moldova",2,0,0,0,0,3691000,NA
"43","Monaco",5,0,0,0,0,30427,89404.07332
"44","Mongolia",1,0,0,0,0,2280496,405.9718115
"45","Netherlands",21,0,1,3,4,15382838,24331.75402
"46","New Zealand",7,0,0,0,0,3620000,15280.48144
"47","Norway",88,10,11,5,26,4336613,29315.84191
"48","Poland",28,0,0,0,0,38542652,2874.825311
"49","Portugal",1,0,0,0,0,9991525,9978.301937
"50","Puerto Rico",5,0,0,0,0,3649237,10876.41882
"51","Romania",23,0,0,0,0,22730211,1323.104325
"52","Russia",113,11,8,4,23,148336000,2663.394599
"53","San Marino",3,0,0,0,0,25516,NA
"54","Senegal",1,0,0,0,0,8512173,455.4885004
"55","Slovakia",42,0,0,0,0,5346331,3755.727737
"56","Slovenia",22,0,0,3,3,1989443,NA
"57","South Africa",2,0,0,0,0,40558495,3445.701083
"58","South Korea",21,4,1,1,6,44641540,10205.80747
"59","Spain",13,0,0,0,0,39549108,13378.84984
"60","Sweden",84,2,1,0,3,8780745,25747.24169
"61","Switzerland",59,3,4,2,9,6993795,41738.97019
"62","Trinidad and Tobago",2,0,0,0,0,1250318,3956.758089
"63","Turkey",1,0,0,0,0,57564132,2270.340362
"64","Ukraine",37,1,0,1,2,51921041,1012.105192
"65","United States",147,6,5,2,13,263126000,27776.63553
"66","Uzbekistan",7,1,0,0,1,22377000,576.4471105
"67","Virgin Islands",8,0,0,0,0,107317,NA
